C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.927161
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.916779
C=0.01, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.900073
C=0.012589254117941668, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.893430
C=0.015848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.916296
C=0.01995262314968879, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.891009
C=0.025118864315095794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.897633
C=0.05011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.926590
C=0.0630957344480193, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.026732
C=0.07943282347242814, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.946353
C=0.1, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.946609
C=0.12589254117941673, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.956911
C=0.15848931924611134, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.078306
C=0.19952623149688792, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.999753
C=0.25118864315095796, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:01.987247
C=0.31622776601683794, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.042743
C=0.3981071705534972, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.024178
C=0.5011872336272722, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.085637
C=0.6309573444801932, Train Accuracy: 0.9020407353444687, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.028163
C=0.7943282347242815, Train Accuracy: 0.9022101628654234, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.047952
C=1.0, Train Accuracy: 0.9022343087063024, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.055294
C=1.2589254117941673, Train Accuracy: 0.9022343087063024, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.175765
C=1.5848931924611136, Train Accuracy: 0.9022343087063024, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.078858
C=1.9952623149688797, Train Accuracy: 0.902506095547917, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.059993
C=2.51188643150958, Train Accuracy: 0.902506095547917, Test Accuracy: 0.9784509546502104, Cost Time: 0 days 00:00:02.075051
C=3.1622776601683795, Train Accuracy: 0.9028976084067688, Test Accuracy: 0.9784233646377948, Cost Time: 0 days 00:00:02.066828
C=3.981071705534973, Train Accuracy: 0.9030978139141942, Test Accuracy: 0.9782485645937586, Cost Time: 0 days 00:00:02.091882
C=5.011872336272724, Train Accuracy: 0.9036446034471378, Test Accuracy: 0.9775836263398395, Cost Time: 0 days 00:00:02.084425
C=6.309573444801933, Train Accuracy: 0.9036446034471378, Test Accuracy: 0.9775836263398395, Cost Time: 0 days 00:00:02.090449
C=7.943282347242816, Train Accuracy: 0.9036973808584058, Test Accuracy: 0.9775836263398395, Cost Time: 0 days 00:00:02.096984
